"","country","date","changeFX","diffInt"
"1498","Philippines",2003-10-31,0.00798624809153883,0.00474332001307129
"1499","Philippines",2003-11-28,0.00738475978505826,0.00637711060026051
"1500","Philippines",2003-12-31,-0.00368556307338351,0.00555908732506426
"1501","Philippines",2004-01-30,0.0067316145237399,0.00473873208953716
"1502","Philippines",2004-02-27,0.00757478112749783,0.00658339545487198
"1503","Philippines",2004-03-31,-0.00257789377839397,0.00655612069799096
"1504","Philippines",2004-04-30,-0.00312012733624375,0.00538724839798097
"1505","Philippines",2004-05-31,-0.00178731057409564,0.00476501566374373
"1506","Philippines",2004-06-30,0.00455134425394576,0.00490292847938572
"1507","Philippines",2004-07-30,-0.00312124032769196,0.00446483022777551
"1508","Philippines",2004-08-31,0.0034773339840855,0.00446708823986939
"1509","Philippines",2004-09-30,0.0019562517353744,0.00452028245867696
"1510","Philippines",2004-10-29,0.000799183099855239,0.004101288839226
"1511","Philippines",2004-11-30,-0.00231049600697729,0.00357013194363836
"1512","Philippines",2004-12-31,-0.00133541083722712,0.0045420079772715
"1513","Philippines",2005-01-31,-0.0188854533740115,0.00262025908227799
"1514","Philippines",2005-02-28,-0.00728932612557528,0.0026211616609127
"1515","Philippines",2005-03-31,0.00456205170784237,0.00292698211894405
"1516","Philippines",2005-04-29,-0.0140259896666544,0.00110721546649994
"1517","Philippines",2005-05-31,0.00662497822431222,0.00142964521500129
"1518","Philippines",2005-06-30,0.0254439005478614,0.00240211930533341
"1519","Philippines",2005-07-29,0.00321342774063637,0.00254554978003054
"1520","Philippines",2005-08-31,0.00355840603215921,0.0033953481819629
"1521","Philippines",2005-09-30,-0.00471761968018263,0.00318016275716021
"1522","Philippines",2005-10-31,-0.0208256343295263,0.00308351655777087
"1523","Philippines",2005-11-30,-0.0164412429090843,0.00297759626697019
"1524","Philippines",2005-12-30,-0.017846771272762,0.0026927040268824
"1525","Philippines",2006-01-31,-0.016827891510652,0.00177215842533443
"1526","Philippines",2006-02-28,-0.00944039377908707,0.00216567491249739
"1527","Philippines",2006-03-31,-0.00972581095705245,0.00184544233130174
"1528","Philippines",2006-04-28,0.0118528542031681,0.00189119877282783
"1529","Philippines",2006-05-31,0.020836078262333,0.00220150982039
"1530","Philippines",2006-06-30,0.00504777578473565,0.00189928222876389
"1531","Philippines",2006-07-31,-0.0316955712962155,0.00130088264775496
"1532","Philippines",2006-08-31,-0.0133980782731987,0.00140690587592329
"1533","Philippines",2006-09-29,-0.0117852317246221,0.00194073360906426
"1534","Philippines",2006-10-31,-0.00699792918764467,0.00184420530960679
"1535","Philippines",2006-11-30,-0.00361809439917715,0.000251679965086458
"1536","Philippines",2006-12-29,-0.0131754211585644,0.00169209952404718
"1537","Philippines",2007-01-31,-0.00224696244062977,-0.000480688109157057
"1538","Philippines",2007-02-28,-0.00754371986343269,-0.000113332543561141
"1539","Philippines",2007-03-30,-0.00583784883239883,-0.000248735595345975
"1540","Philippines",2007-04-30,-0.0133530045785676,-0.000168046045011581
"1541","Philippines",2007-05-31,-0.0283329208809515,0.000356461956861848
"1542","Philippines",2007-06-29,-0.000648438367041605,0.000345886120444495
"1543","Philippines",2007-07-31,-0.0198718188790512,0.00169683921846841
"1544","Philippines",2007-08-31,0.0261225127947627,0.000944976660673179
"1545","Philippines",2007-09-28,-0.0325391738197987,0.00128663031569442
"1546","Philippines",2007-10-31,-0.0308826526176974,0.00128123015604854
"1547","Philippines",2007-11-30,-0.0209365116583925,0.0012966458411193
"1548","Philippines",2007-12-31,-0.0356968299720655,0.00117435560146766
"1549","Philippines",2008-01-31,-0.0175979122838836,0.00210602882184166
"1550","Philippines",2008-02-29,-0.00222167457464269,0.00249287438893058
"1551","Philippines",2008-03-31,0.0317409755614188,0.00272551391613156
"1552","Philippines",2008-04-30,0.0118992360696146,0.00139481576769063
"1553","Philippines",2008-05-30,0.0347567966057028,0.0029090514768253
"1554","Philippines",2008-06-30,0.0254920187883706,0.00224716695780748
"1555","Philippines",2008-07-31,-0.0163938097756765,0.00178714884291231
"1556","Philippines",2008-08-29,0.03885924086839,0.00136028532551345
"1557","Philippines",2008-09-30,0.0244190049659031,-0.000201933245806579
"1558","Philippines",2008-10-31,0.0389754447875829,0.00108281501595596
"1559","Philippines",2008-11-28,0.00112365301163281,0.00199902155341677
"1560","Philippines",2008-12-31,-0.0295281748392051,0.00386214324995271
"1561","Philippines",2009-01-30,-0.00379267205573892,0.00248793060925472
"1562","Philippines",2009-02-27,0.0295362568920853,0.0038050083753108
"1563","Philippines",2009-03-31,-0.00957634873335115,0.00301665586840848
"1564","Philippines",2009-04-30,0.000672303699721144,0.00386987402799252
"1565","Philippines",2009-05-29,-0.0213713492132612,0.00322706796406074
"1566","Philippines",2009-06-30,0.0165518130270938,0.00322595982293492
"1567","Philippines",2009-07-31,-0.00093550238099601,0.00306310755295506
"1568","Philippines",2009-08-31,0.0147615583664723,0.00301829107513612
"1569","Philippines",2009-09-30,-0.029427649862785,0.00332919248052038
"1570","Philippines",2009-10-30,0.00494763891536993,0.00276840008188611
"1571","Philippines",2009-11-30,-0.00843619893097676,0.00380509918997249
"1572","Philippines",2009-12-31,-0.0210827007148984,0.0036489692756958
